Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
A,B,C,D,E
车型,长,宽,高,公路单位运输费用元/1000km
单节柜,5.8-5.9米,2.35米,2.39米,以铁路运输为主
集装箱,12米,2.35米,2.39米,以海路运输为主
超高柜,12米,2.35米,2.69米,以海路运输为主
4.2米箱货,4-4.1米,1.8-1.9米,1.65-2米,2800
6.2米箱货,5.9-6米,1.9-2.0米,1.9米,4500
6.8米箱货,6.6-6.8米,2.3-2.5米,2.2米,5000
9.6米箱货,9.4-9.5米,2.3-2.5米,2.2米,6500
17米箱货,16.7-17米,2.3-2.5米,2.2米,11000
4.2低栏板,4-4.2米,2.1米,0.5米（栏板高度）,3500
4.2高栏,4-4.2米,2.1米,1.6-2.4米（栏板高度）,4000
6米8高栏,6.6-6.8米,2.3-2.5米,1.6-2.4米（栏板高度）,5000
6米8低栏板,6.6-6.8米,2.3-2.5米,0.5米（栏板高度）,4500
9米6高栏,9.4-9.5米,2.3-2.5米,1.6-2.4米（栏板高度）,7000
9米6低栏板,9.4-9.5米,2.3-2.5米,0.5米（栏板高度）,5000
13米高栏,12.94-12.98米,2.3-2.5米,1.6-2.4米（栏板高度）,9000
13米高低板,12.94-12.98米（车前段长约4米长是高板，后面是低板，高低板的高度差约25公分）,2.3-2.5米,1.6-2.4米（栏板高度）,8800
+,,,,
