车辆编号,车型,货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
1,2,92,标准件,0,0,0,25,35,50,8
1,2,274,定向件,25,0,0,40,40,60,18
1,2,117,标准件,65,0,0,25,35,50,8
1,2,42,标准件,90,0,0,30,40,60,12
1,2,124,标准件,120,0,0,25,35,50,8
1,2,286,定向件,145,0,0,40,40,60,18
1,2,102,标准件,185,0,0,25,35,50,8
1,2,197,易碎件,210,0,0,40,50,70,15
1,2,86,标准件,250,0,0,25,35,50,8
1,2,287,定向件,275,0,0,40,40,60,18
1,2,96,标准件,315,0,0,25,35,50,8
1,2,111,标准件,340,0,0,25,35,50,8
1,2,278,定向件,365,0,0,40,40,60,18
1,2,258,定向件,405,0,0,40,40,60,18
1,2,48,标准件,445,0,0,30,40,60,12
1,2,245,定向件,475,0,0,80,60,50,25
1,2,208,易碎件,555,0,0,40,50,70,15
1,2,108,标准件,595,0,0,25,35,50,8
1,2,70,标准件,620,0,0,30,40,60,12
1,2,236,定向件,25,40,0,80,60,50,25
1,2,180,易碎件,315,35,0,40,50,70,15
1,2,184,易碎件,105,40,0,40,50,70,15
1,2,101,标准件,650,0,0,25,35,50,8
1,2,148,标准件,0,35,0,25,35,50,8
1,2,64,标准件,650,35,0,30,40,60,12
1,2,164,标准件,185,35,0,25,35,50,8
1,2,266,定向件,145,40,0,40,40,60,18
1,2,162,标准件,250,35,0,25,35,50,8
1,2,215,定向件,365,40,0,80,60,50,25
1,2,16,标准件,275,40,0,30,40,60,12
1,2,133,标准件,595,35,0,25,35,50,8
1,2,251,定向件,210,50,0,40,40,60,18
1,2,201,易碎件,555,50,0,40,50,70,15
1,2,189,易碎件,475,60,0,40,50,70,15
1,2,74,标准件,445,40,0,30,40,60,12
1,2,75,标准件,620,40,0,30,40,60,12
1,2,97,标准件,515,60,0,25,35,50,8
1,2,152,标准件,0,70,0,25,35,50,8
1,2,206,易碎件,145,80,0,40,50,70,15
1,2,23,标准件,650,75,0,30,40,60,12
1,2,125,标准件,185,70,0,25,35,50,8
1,2,36,标准件,275,80,0,30,40,60,12
1,2,84,标准件,250,70,0,25,35,50,8
1,2,55,标准件,445,80,0,30,40,60,12
1,2,63,标准件,620,80,0,30,40,60,12
1,2,76,标准件,315,85,0,30,40,60,12
1,2,204,易碎件,105,90,0,40,50,70,15
1,2,18,标准件,210,90,0,30,40,60,12
1,2,175,标准件,595,70,0,25,35,50,8
1,2,129,标准件,515,95,0,25,35,50,8
1,2,252,定向件,25,100,0,40,40,60,18
1,2,254,定向件,65,100,0,40,40,60,18
1,2,139,标准件,365,100,0,25,35,50,8
1,2,14,标准件,390,100,0,30,40,60,12
1,2,150,标准件,420,100,0,25,35,50,8
1,2,298,定向件,555,100,0,40,40,60,18
1,2,281,定向件,475,110,0,40,40,60,18
1,2,24,标准件,650,115,0,30,40,60,12
1,2,167,标准件,0,105,0,25,35,50,8
1,2,50,标准件,275,120,0,30,40,60,12
1,2,160,标准件,185,105,0,25,35,50,8
1,2,199,易碎件,315,125,0,40,50,70,15
1,2,246,定向件,0,140,0,80,60,50,25
1,2,47,标准件,445,120,0,30,40,60,12
1,2,250,定向件,145,130,0,40,40,60,18
1,2,198,易碎件,210,130,0,40,50,70,15
1,2,172,标准件,250,105,0,25,35,50,8
1,2,22,标准件,620,120,0,30,40,60,12
1,2,19,标准件,515,130,0,30,40,60,12
1,2,191,易碎件,80,140,0,40,50,70,15
1,2,73,标准件,390,140,0,30,40,60,12
1,2,106,标准件,595,105,0,25,35,50,8
1,2,71,标准件,555,140,0,30,40,60,12
1,2,87,标准件,365,135,0,25,35,50,8
1,2,233,定向件,210,180,0,80,60,50,25
1,2,269,定向件,475,150,0,40,40,60,18
1,2,136,标准件,420,135,0,25,35,50,8
1,2,273,定向件,620,160,0,40,40,60,18
1,2,147,标准件,120,140,0,25,35,50,8
1,2,77,标准件,585,140,0,30,40,60,12
1,2,109,标准件,185,140,0,25,35,50,8
1,2,83,标准件,250,140,0,25,35,50,8
1,2,80,标准件,445,160,0,25,35,50,8
1,2,149,标准件,145,170,0,25,35,50,8
1,2,57,标准件,515,170,0,30,40,60,12
1,2,276,定向件,315,175,0,40,40,60,18
1,2,153,标准件,365,170,0,25,35,50,8
1,2,11,标准件,390,180,0,30,40,60,12
1,2,156,标准件,420,170,0,25,35,50,8
1,2,38,标准件,555,180,0,30,40,60,12
1,2,82,标准件,120,175,0,25,35,50,8
1,2,219,定向件,475,0,50,80,60,50,25
1,2,115,标准件,185,175,0,25,35,50,8
1,2,112,标准件,290,180,0,25,35,50,8
1,2,249,定向件,25,40,50,80,60,50,25
1,2,290,定向件,80,190,0,40,40,60,18
1,2,159,标准件,585,180,0,25,35,50,8
1,2,68,标准件,475,190,0,30,40,60,12
1,2,163,标准件,445,195,0,25,35,50,8
1,2,294,定向件,0,200,0,40,40,60,18
1,2,43,标准件,40,200,0,30,40,60,12
1,2,85,标准件,620,200,0,25,35,50,8
1,2,182,易碎件,620,40,60,40,50,70,15
1,2,27,标准件,645,200,0,30,40,60,12
1,2,214,定向件,365,40,50,80,60,50,25
1,2,78,标准件,145,205,0,30,40,60,12
1,2,193,易碎件,620,90,60,40,50,70,15
1,2,2,标准件,515,60,50,30,40,60,12
1,2,216,定向件,0,140,50,80,60,50,25
1,2,228,定向件,210,180,50,80,60,50,25
1,2,145,标准件,365,205,0,25,35,50,8
1,2,31,标准件,445,160,50,30,40,60,12
1,2,188,易碎件,555,140,60,50,40,70,15
1,2,54,标准件,585,180,50,30,40,60,12
1,2,59,标准件,445,200,50,30,40,60,12
1,2,40,标准件,25,0,60,30,40,60,12
1,2,293,定向件,90,0,60,40,40,60,18
1,2,171,标准件,420,205,0,25,35,50,8
1,2,9,标准件,55,0,60,30,40,60,12
1,2,299,定向件,130,0,60,40,40,60,18
1,2,239,定向件,210,50,60,80,60,50,25
1,2,157,标准件,120,210,0,25,35,50,8
1,2,13,标准件,170,0,60,30,40,60,12
1,2,195,易碎件,25,0,120,50,40,70,15
1,2,6,标准件,275,0,60,30,40,60,12
1,2,272,定向件,365,0,60,40,40,60,18
1,2,277,定向件,405,0,60,40,40,60,18
1,2,222,定向件,475,110,60,80,60,50,25
1,2,262,定向件,620,0,60,40,40,60,18
1,2,221,定向件,475,170,60,80,60,50,25
1,2,296,定向件,145,40,60,40,40,60,18
1,2,7,标准件,445,0,60,30,40,60,12
1,2,39,标准件,445,40,60,30,40,60,12
1,2,242,定向件,315,175,60,80,60,50,25
1,2,142,标准件,185,210,0,25,35,50,8
1,2,267,定向件,315,85,60,40,40,60,18
1,2,30,标准件,445,80,60,30,40,60,12
1,2,226,定向件,475,0,100,80,60,50,25
1,2,95,标准件,515,210,0,25,35,50,8
1,2,45,标准件,25,100,60,30,40,60,12
1,2,118,标准件,0,0,50,25,35,50,8
1,2,255,定向件,55,100,60,40,40,60,18
1,2,211,定向件,25,40,100,80,60,50,25
1,2,35,标准件,390,100,60,30,40,60,12
1,2,90,标准件,250,0,50,25,35,50,8
1,2,265,定向件,555,100,60,40,40,60,18
1,2,141,标准件,315,0,50,25,35,50,8
1,2,176,标准件,340,0,50,25,35,50,8
1,2,58,标准件,275,120,60,30,40,60,12
1,2,12,标准件,445,120,60,30,40,60,12
1,2,225,定向件,365,40,100,80,60,50,25
1,2,297,定向件,145,130,60,40,40,60,18
1,2,237,定向件,0,140,100,80,60,50,25
1,2,120,标准件,595,0,50,25,35,50,8
1,2,67,标准件,605,140,60,30,40,60,12
1,2,288,定向件,635,140,60,40,40,60,18
1,2,257,定向件,395,175,60,40,40,60,18
1,2,261,定向件,635,180,60,40,40,60,18
1,2,62,标准件,145,170,60,30,40,60,12
1,2,235,定向件,210,180,100,80,60,50,25
1,2,88,标准件,0,35,50,25,35,50,8
1,2,94,标准件,595,35,50,25,35,50,8
1,2,5,标准件,175,170,60,30,40,60,12
1,2,99,标准件,0,70,50,25,35,50,8
