车辆编号,货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
1,92,标准件,0,0,0,25,35,50,8
1,274,定向件,25,0,0,40,40,60,18
1,117,标准件,65,0,0,25,35,50,8
1,42,标准件,90,0,0,30,40,60,12
1,124,标准件,120,0,0,25,35,50,8
1,286,定向件,145,0,0,40,40,60,18
1,102,标准件,185,0,0,25,35,50,8
1,197,易碎件,210,0,0,40,50,70,15
1,86,标准件,250,0,0,25,35,50,8
1,287,定向件,275,0,0,40,40,60,18
1,96,标准件,315,0,0,25,35,50,8
1,111,标准件,340,0,0,25,35,50,8
1,278,定向件,365,0,0,40,40,60,18
1,258,定向件,405,0,0,40,40,60,18
1,48,标准件,445,0,0,30,40,60,12
1,245,定向件,475,0,0,80,60,50,25
1,208,易碎件,555,0,0,40,50,70,15
1,108,标准件,595,0,0,25,35,50,8
1,70,标准件,620,0,0,30,40,60,12
1,236,定向件,25,40,0,80,60,50,25
1,180,易碎件,315,35,0,40,50,70,15
1,184,易碎件,105,40,0,40,50,70,15
1,101,标准件,650,0,0,25,35,50,8
1,148,标准件,0,35,0,25,35,50,8
1,64,标准件,650,35,0,30,40,60,12
1,164,标准件,185,35,0,25,35,50,8
1,266,定向件,145,40,0,40,40,60,18
1,162,标准件,250,35,0,25,35,50,8
1,215,定向件,365,40,0,80,60,50,25
1,16,标准件,275,40,0,30,40,60,12
1,133,标准件,595,35,0,25,35,50,8
1,251,定向件,210,50,0,40,40,60,18
1,201,易碎件,555,50,0,40,50,70,15
1,189,易碎件,475,60,0,40,50,70,15
1,74,标准件,445,40,0,30,40,60,12
1,75,标准件,620,40,0,30,40,60,12
1,97,标准件,515,60,0,25,35,50,8
1,152,标准件,0,70,0,25,35,50,8
1,206,易碎件,145,80,0,40,50,70,15
1,23,标准件,650,75,0,30,40,60,12
1,125,标准件,185,70,0,25,35,50,8
1,36,标准件,275,80,0,30,40,60,12
1,84,标准件,250,70,0,25,35,50,8
1,55,标准件,445,80,0,30,40,60,12
1,63,标准件,620,80,0,30,40,60,12
1,76,标准件,315,85,0,30,40,60,12
1,204,易碎件,105,90,0,40,50,70,15
1,18,标准件,210,90,0,30,40,60,12
1,175,标准件,595,70,0,25,35,50,8
1,129,标准件,515,95,0,25,35,50,8
1,252,定向件,25,100,0,40,40,60,18
1,254,定向件,65,100,0,40,40,60,18
1,139,标准件,365,100,0,25,35,50,8
1,14,标准件,390,100,0,30,40,60,12
1,150,标准件,420,100,0,25,35,50,8
1,298,定向件,555,100,0,40,40,60,18
1,281,定向件,475,110,0,40,40,60,18
1,24,标准件,650,115,0,30,40,60,12
1,167,标准件,0,105,0,25,35,50,8
1,50,标准件,275,120,0,30,40,60,12
1,160,标准件,185,105,0,25,35,50,8
1,199,易碎件,315,125,0,40,50,70,15
1,246,定向件,0,140,0,80,60,50,25
1,47,标准件,445,120,0,30,40,60,12
1,250,定向件,145,130,0,40,40,60,18
1,198,易碎件,210,130,0,40,50,70,15
1,172,标准件,250,105,0,25,35,50,8
1,22,标准件,620,120,0,30,40,60,12
1,19,标准件,515,130,0,30,40,60,12
1,191,易碎件,80,140,0,40,50,70,15
1,73,标准件,390,140,0,30,40,60,12
1,106,标准件,595,105,0,25,35,50,8
1,71,标准件,555,140,0,30,40,60,12
1,87,标准件,365,135,0,25,35,50,8
1,233,定向件,210,180,0,80,60,50,25
1,269,定向件,475,150,0,40,40,60,18
1,136,标准件,420,135,0,25,35,50,8
1,273,定向件,620,160,0,40,40,60,18
1,147,标准件,120,140,0,25,35,50,8
1,77,标准件,585,140,0,30,40,60,12
1,109,标准件,185,140,0,25,35,50,8
1,83,标准件,250,140,0,25,35,50,8
1,80,标准件,445,160,0,25,35,50,8
1,149,标准件,145,170,0,25,35,50,8
1,57,标准件,515,170,0,30,40,60,12
1,276,定向件,315,175,0,40,40,60,18
1,153,标准件,365,170,0,25,35,50,8
1,11,标准件,390,180,0,30,40,60,12
1,156,标准件,420,170,0,25,35,50,8
1,38,标准件,555,180,0,30,40,60,12
1,82,标准件,120,175,0,25,35,50,8
1,219,定向件,475,0,50,80,60,50,25
1,115,标准件,185,175,0,25,35,50,8
1,112,标准件,290,180,0,25,35,50,8
1,249,定向件,25,40,50,80,60,50,25
1,290,定向件,80,190,0,40,40,60,18
1,159,标准件,585,180,0,25,35,50,8
1,68,标准件,475,190,0,30,40,60,12
1,163,标准件,445,195,0,25,35,50,8
1,294,定向件,0,200,0,40,40,60,18
1,43,标准件,40,200,0,30,40,60,12
1,85,标准件,620,200,0,25,35,50,8
1,182,易碎件,620,40,60,40,50,70,15
1,27,标准件,645,200,0,30,40,60,12
1,214,定向件,365,40,50,80,60,50,25
1,78,标准件,145,205,0,30,40,60,12
1,193,易碎件,620,90,60,40,50,70,15
1,2,标准件,515,60,50,30,40,60,12
1,216,定向件,0,140,50,80,60,50,25
1,228,定向件,210,180,50,80,60,50,25
1,145,标准件,365,205,0,25,35,50,8
1,31,标准件,445,160,50,30,40,60,12
1,188,易碎件,555,140,60,50,40,70,15
1,54,标准件,585,180,50,30,40,60,12
1,59,标准件,445,200,50,30,40,60,12
1,40,标准件,25,0,60,30,40,60,12
1,293,定向件,90,0,60,40,40,60,18
1,171,标准件,420,205,0,25,35,50,8
1,9,标准件,55,0,60,30,40,60,12
1,299,定向件,130,0,60,40,40,60,18
1,239,定向件,210,50,60,80,60,50,25
1,157,标准件,120,210,0,25,35,50,8
1,13,标准件,170,0,60,30,40,60,12
1,195,易碎件,25,0,120,50,40,70,15
1,6,标准件,275,0,60,30,40,60,12
1,272,定向件,365,0,60,40,40,60,18
1,277,定向件,405,0,60,40,40,60,18
1,222,定向件,475,110,60,80,60,50,25
1,262,定向件,620,0,60,40,40,60,18
1,221,定向件,475,170,60,80,60,50,25
1,296,定向件,145,40,60,40,40,60,18
1,7,标准件,445,0,60,30,40,60,12
1,39,标准件,445,40,60,30,40,60,12
1,242,定向件,315,175,60,80,60,50,25
1,142,标准件,185,210,0,25,35,50,8
1,267,定向件,315,85,60,40,40,60,18
1,30,标准件,445,80,60,30,40,60,12
1,226,定向件,475,0,100,80,60,50,25
1,95,标准件,515,210,0,25,35,50,8
1,45,标准件,25,100,60,30,40,60,12
1,118,标准件,0,0,50,25,35,50,8
1,255,定向件,55,100,60,40,40,60,18
1,211,定向件,25,40,100,80,60,50,25
1,35,标准件,390,100,60,30,40,60,12
1,90,标准件,250,0,50,25,35,50,8
1,265,定向件,555,100,60,40,40,60,18
1,141,标准件,315,0,50,25,35,50,8
1,176,标准件,340,0,50,25,35,50,8
1,58,标准件,275,120,60,30,40,60,12
1,12,标准件,445,120,60,30,40,60,12
1,225,定向件,365,40,100,80,60,50,25
1,297,定向件,145,130,60,40,40,60,18
1,237,定向件,0,140,100,80,60,50,25
1,120,标准件,595,0,50,25,35,50,8
1,67,标准件,605,140,60,30,40,60,12
1,288,定向件,635,140,60,40,40,60,18
1,257,定向件,395,175,60,40,40,60,18
1,261,定向件,635,180,60,40,40,60,18
1,62,标准件,145,170,60,30,40,60,12
1,235,定向件,210,180,100,80,60,50,25
1,88,标准件,0,35,50,25,35,50,8
1,94,标准件,595,35,50,25,35,50,8
1,5,标准件,175,170,60,30,40,60,12
1,99,标准件,0,70,50,25,35,50,8
1,271,定向件,80,190,60,40,40,60,18
1,154,标准件,185,70,50,25,35,50,8
